id,title,url
3zJQheyYt6Jfsqdex,Moving to and Living with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/3zJQheyYt6Jfsqdex
5rP4SM85Dub2tavgq,Streamlining Data Science with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/5rP4SM85Dub2tavgq
C5ufSdGq8CsDMC3LE,Data Drivers: Snowflake's Award Winning Customers,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/C5ufSdGq8CsDMC3LE
CuYYSpkcsPrHNEk5S,Migrating Zabka to Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/CuYYSpkcsPrHNEk5S
kRXLhBPfZZaPficyZ,"Embedded Analytics at JAGGAER: Foundational, Advanced and Augmented Analytics",snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/kRXLhBPfZZaPficyZ
tYot6KfBBoMuR5ab7,Building a Scalable Data Lake Using Amazon S3 and Snowflake at Portland General Electric,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/tYot6KfBBoMuR5ab7
zR2W8cfhkjcguuaxN,Grow your Career with a SnowPro Certification,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/zR2W8cfhkjcguuaxN
SbJWZesoyqCRvoE3q,Planning for a Successful Data Warehouse Migration,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/SbJWZesoyqCRvoE3q
Jt9So2WytK68DFj5M,Snowflake on Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/Jt9So2WytK68DFj5M
AzcguZ5kaCuJHdSD3,Fueling Data Breakthroughs: How TUI Aviation Visualizes Aircraft Security Data in Minutes,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/AzcguZ5kaCuJHdSD3
C2wGoMNs6NzQdKA3y,Leveraging the Data Cloud to Add New Revenue Streams,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/C2wGoMNs6NzQdKA3y
H3G3ie7G7HN6qWyY5,Data Evolution: A Progression to the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/H3G3ie7G7HN6qWyY5
HfXe3GQ3pCxHhQAMD,Mobilizing Data for Marketing - Transforming the Role of the CMO,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/HfXe3GQ3pCxHhQAMD
KTLjDDh5witDDm2WD,Data Sharing Made Simple,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/KTLjDDh5witDDm2WD
QxM2mRQtFx6b2NuLY,Designing the Perfect Cloud Data Lake with Alation’s Data Catalog,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/QxM2mRQtFx6b2NuLY
WA85ev4BMwBtm4CA8,Solving For Agility: Achieving Flexibility and Performance Through Your Cloud Data Platform Migration,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/WA85ev4BMwBtm4CA8
YYWwkrJ3DBKEwESxA,Office Depot: Customer 360 and Segmentation,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/YYWwkrJ3DBKEwESxA
Sr6YvKFTdcsx8gGAj,Data Cloud Catalysts - Women in Tech,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/Sr6YvKFTdcsx8gGAj
Pzk6psxt63Zn3wh8R,Tales from the Front: Rapidly Deploy Snowflake at Scale,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/Pzk6psxt63Zn3wh8R
DarSWZcwPaeyQK3vx,Dataiku: Bringing Data Science to Life,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/DarSWZcwPaeyQK3vx
FBHHWZmBoSgbASw4d,Driving Business Impact through the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/FBHHWZmBoSgbASw4d
G3QaB7gsxm6Zkemif,Modern Data Lake Design Patterns,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/G3QaB7gsxm6Zkemif
RJCs4jeyxgwfmX6nk,New Features for Data Governance in Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/RJCs4jeyxgwfmX6nk
rbFGmpA7X8SXMkQh9,Interview with Vice President of Strategy for Experian’s Marketing Services,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/rbFGmpA7X8SXMkQh9
tbtHhQnKAMSYhzieB,Powering Proprietary Models and Platforms with S&P Global Data and Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/tbtHhQnKAMSYhzieB
vSastfvJbG8BwAGfF,Snowflake Data Superheroes: Origins,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/vSastfvJbG8BwAGfF
a9dyW7DmvSRiA2wBF,Ecosystems: Powering the Next Generation of Innovation in the Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/a9dyW7DmvSRiA2wBF
QCoH6orYJ6YRiTrcZ,Data Cloud Summit 2020: Preshow,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/QCoH6orYJ6YRiTrcZ
pGnN4jtqcQ6mNBxFH,The Rise of the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/pGnN4jtqcQ6mNBxFH
9hNZ6YCwwrGohvdkZ,Mobilizing Data at Disney+,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/9hNZ6YCwwrGohvdkZ
6i7E7TpExapXvrNwP,What's Next in the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/6i7E7TpExapXvrNwP
4fucQoP3ryrn9SELD,How OZ Minerals and Deloitte Unlocked Value with the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/4fucQoP3ryrn9SELD
FTB8T8shfhxq2kEZt,Breaking Down Data Kingdoms for Democratized Analytics,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/FTB8T8shfhxq2kEZt
HidkwLciFqJJgKTZB,Interview with Frank Slootman: A Closer Look at the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/HidkwLciFqJJgKTZB
LpzrYQeuxTp2jQsu4,Maximizing Your Superhero Journey,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/LpzrYQeuxTp2jQsu4
PnFumSDipampGBApH,Every App Is a Data App!,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/PnFumSDipampGBApH
gtpFzpRy8fK53v9ep,Democratised Data with Snowflake and dbt,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/gtpFzpRy8fK53v9ep
snxnrZ3Rmy2DvzpTC,The Vision of the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/snxnrZ3Rmy2DvzpTC
vmjarbmJgpN5Y9QNJ,Punching Above Your Weight with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/vmjarbmJgpN5Y9QNJ
